Sl.No.,Slide No,State,District,Slide Name,NH SH Location,Latitude,Longitude,Material Involved,Movement Type,History,latitude_valid,longitude_valid,latitude_missing,longitude_missing,latitude_invalid,longitude_invalid,missing_coordinates,coordinate_status,suspicious_coordinates,valid_coordinate_rows,state_missing,district_missing,state_district_status,material_missing,movement_type_missing,history_missing,event_date,event_date_start,event_date_end,event_time,date_status,date_precision,date_parse_notes,landslide,event_quality
45,AS/CHR/83D09/2020/8,Assam,Cachar,Borkola Cyan Nagar slide,Borkola Cyan Nagar Natun Basti,24.95,92.73,Debris,Slide,2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,,2018,2018,,year_only,year,Year-only value preserved as-is: 2018.,1,limited_date_precision
57,AS/CHR/83D09/2020/7,Assam,Cachar,Naraichhora slide-2,Narainchora,24.97,92.72,Debris,Slide,2017,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,,2017,2017,,year_only,year,Year-only value preserved as-is: 2017.,1,limited_date_precision
65,AS/CHR/83D05/2020/2,Assam,Cachar,Tarapur slide,Tarapur,24.99,92.45,Debris,Slide,2016,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,,2016,2016,,year_only,year,Year-only value preserved as-is: 2016.,1,limited_date_precision
71,AS/DIM/83G4/2015/33,Assam,Dima Hasao,Nutan Leikul-6,Nutan Leikul.NH-54,25.008,93.04,Earth,Slide,2014,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,,2014,2014,,year_only,year,Year-only value preserved as-is: 2014.,1,limited_date_precision
79,AS/CHR/83C12/2020/1,Assam,Cachar,Bhamai slide-1,Karbi houses(Bhamai river side),25.02,92.52,Debris,Slide,2019,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,,2019,2019,,year_only,year,Year-only value preserved as-is: 2019.,1,limited_date_precision
80,AS/CHR/83C12/2020/2,Assam,Cachar,Bhamai slide-2,Karbi Houses (Bhamai river side),25.02,92.52,Debris,Slide,2019,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,,2019,2019,,year_only,year,Year-only value preserved as-is: 2019.,1,limited_date_precision
81,AS/CAC/83C4/2016/73,Assam,Cachar,0.21 km N of Malidhar,NH44,25.029708,92.463967,Debris,Slide,2015,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,,2015,2015,,year_only,year,Year-only value preserved as-is: 2015.,1,limited_date_precision
82,AS/CAC/83C4/2016/74,Assam,Cachar,0.39 km N of Malidhar,NH44,25.031431,92.463231,Debris,Slide,2015,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,,2015,2015,,year_only,year,Year-only value preserved as-is: 2015.,1,limited_date_precision
83,AS/CAC/83C4/2016/75,Assam,Cachar,0.48 km N of Malidhar,NH44,25.032119,92.462636,Debris,Slide,2015,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,,2015,2015,,year_only,year,Year-only value preserved as-is: 2015.,1,limited_date_precision
84,AS/CAC/83C4/2016/76,Assam,Cachar,0.58 km NW of Malidhar,NH44,25.032989,92.462214,Debris,Slide,2015,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,,2015,2015,,year_only,year,Year-only value preserved as-is: 2015.,1,limited_date_precision
87,MEG/WJH/83C4/2016/45,Assam,Cachar,2 km E of Rathacherra,NH44 (near to weight bridge),25.037203,92.450339,Debris,Slide,2015,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,,2015,2015,,year_only,year,Year-only value preserved as-is: 2015.,1,limited_date_precision
132,AS/NC/83C16/2009-10/AS-4,Assam,Dima Hasao,Mailongdisa-Harangajao slide,"Between Mailongdisa and
Harangajao Railway stations.
CHainage:128.400 km to
128.600 km",25.121,92.915028,Debris,Slide,20 June 2010,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2010-06-20,2010-06-20,2010-06-20,,exact_date,day,Exact calendar date parsed from source text: 20 June 2010.,1,reliable
133,AS/DIM/83G4/2015/55,Assam,Dima Hasao,Bara Wapu,"Bara Wapu, NH-54",25.122,93.025,Earth,Slide,2014,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,,2014,2014,,year_only,year,Year-only value preserved as-is: 2014.,1,limited_date_precision
134,AS/DIM/83G4/2015/21,Assam,Dima Hasao,Jatinga,Jatinga NH-54,25.122,93.026,Earth,Slide,2014,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,,2014,2014,,year_only,year,Year-only value preserved as-is: 2014.,1,limited_date_precision
135,AS/DIM/83G4/2015/19,Assam,Dima Hasao,Jatinga Orange Garden Slide.,"Jatinga,NH-54",25.123,93.034,Earth,Slide,2014,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,,2014,2014,,year_only,year,Year-only value preserved as-is: 2014.,1,limited_date_precision
136,AS/DIM/83G4/2015/20,Assam,Dima Hasao,Jatinga slide,Near Jatinga,25.123,93.033,Earth,Slide,2014,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,,2014,2014,,year_only,year,Year-only value preserved as-is: 2014.,1,limited_date_precision
137,AS/NC/83C16/2009-10/AS-5,Assam,Dima Hasao,Mailongdisa-Harangajao-2 slide,"Between Mailongdisa and
Harangajao railway station
(Chainage: 130.100 Km to
130.400 Km)",25.124306,92.904278,Debris,Slide,02 April 2010,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2010-04-02,2010-04-02,2010-04-02,,exact_date,day,Exact calendar date parsed from source text: 02 April 2010.,1,reliable
138,AS/NC/83C16/2009-10/AS-3,Assam,Dima Hasao,Jatinga-Longrangajao slide,"Between Jatinga and
Longrangajao Railway stations
(Chainage:120.100 km to
120.400 km)",25.124583,92.989111,Debris,Slide,16 June 2010,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2010-06-16,2010-06-16,2010-06-16,,exact_date,day,Exact calendar date parsed from source text: 16 June 2010.,1,reliable
142,AS/DIM/83G4/2015/65,Assam,Dima Hasao,Nutan Leikul-Kelelo Sinking zone,On NH-54,25.134,93.045,Earth,Slide,2014,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,,2014,2014,,year_only,year,Year-only value preserved as-is: 2014.,1,limited_date_precision
143,ASM/DH/83G4/2016/19,Assam,Dima Hasao,Jatinga-2,"Jatinga, Haflong",25.134472,93.018972,Rock cum Debris,Slide,2016,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,,2016,2016,,year_only,year,Year-only value preserved as-is: 2016.,1,limited_date_precision
144,AS/DIM/83G4/2015/27,Assam,Dima Hasao,Kelelo slide-1,NH-54 Near Kelolo village,25.135,93.04,Earth,Slide,2014,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,,2014,2014,,year_only,year,Year-only value preserved as-is: 2014.,1,limited_date_precision
145,AS/DIM/83G4/2015/32,Assam,Dima Hasao,Nutan Leikul-5,Nutan Leikul.NH-54,25.135,93.04,Earth,Slide,2014,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,,2014,2014,,year_only,year,Year-only value preserved as-is: 2014.,1,limited_date_precision
146,AS/DIM/83G4/2015/36,Assam,Dima Hasao,Kelelo-4,Kelelo NH-54,25.136,93.04,Earth,Slide,2014,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,,2014,2014,,year_only,year,Year-only value preserved as-is: 2014.,1,limited_date_precision
147,AS/DIM/83G4/2015/29,Assam,Dima Hasao,NutanLeikul-2,"NutanLeikul, NH-54",25.137,93.04,Earth,Slide,2014,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,,2014,2014,,year_only,year,Year-only value preserved as-is: 2014.,1,limited_date_precision
148,AS/DIM/83G4/2015/34,Assam,Dima Hasao,Kelelo -2,"Kelelo village,NH-54",25.137,93.034,Earth,Flow,2014,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,,2014,2014,,year_only,year,Year-only value preserved as-is: 2014.,1,limited_date_precision
149,AS/DIM/83G4/2015/35,Assam,Dima Hasao,Kelelo-3,"Kelelo,NH-54",25.137,93.04,Earth,Slide,2014,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,,2014,2014,,year_only,year,Year-only value preserved as-is: 2014.,1,limited_date_precision
150,AS/DIM/83G4/2015/22,Assam,Dima Hasao,Jatinga slide,"Jatinga, NH-54",25.137,93.018,Earth,Slide,2014,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,,2014,2014,,year_only,year,Year-only value preserved as-is: 2014.,1,limited_date_precision
151,AS/DIM/83G4/2015/56,Assam,Dima Hasao,Bara Haflong,"Bara Haflong,village.",25.139,93.025,Earth,Slide,2014,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,,2014,2014,,year_only,year,Year-only value preserved as-is: 2014.,1,limited_date_precision
153,AS/DIM/83G4/2015/30,Assam,Dima Hasao,NutanLeikul-3,"Nutan.Leikul,NH-54",25.139,93.04,Earth,Slide,2014,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,,2014,2014,,year_only,year,Year-only value preserved as-is: 2014.,1,limited_date_precision
154,ASM/DH/83G4/2016/18,Assam,Dima Hasao,Jatinga-Haflong Road section-1,"Jatinga-Haflong Road section,
Haflong",25.139611,93.019556,Rock cum Debris,Slide,2016,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,,2016,2016,,year_only,year,Year-only value preserved as-is: 2016.,1,limited_date_precision
156,AS/DIH/83G08/2020/30,Assam,Dima Hasao,,Hangrum village,25.14,93.3,Debris,Slide,2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,,2018,2018,,year_only,year,Year-only value preserved as-is: 2018.,1,limited_date_precision
157,ASM/DH/83G4/2016/17,Assam,Dima Hasao,"Near and below Assam rifles camp,
Boro Haflong-3","Boro Haflong, Haflong",25.140417,93.020389,Debris,Slide,2014,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,,2014,2014,,year_only,year,Year-only value preserved as-is: 2014.,1,limited_date_precision
158,AS/DIM/83G4/2015/28,Assam,Dima Hasao,Nutan Leikul-1,"Nutan Leikul, NH-54",25.142,93.04,Earth,Slide,2014,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,,2014,2014,,year_only,year,Year-only value preserved as-is: 2014.,1,limited_date_precision
159,AS/DIM/83G4/2015/31,Assam,Dima Hasao,Nutan Leikul-4,"Nutan Leikul,NH-54",25.142,93.04,Earth,Slide,2014,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,,2014,2014,,year_only,year,Year-only value preserved as-is: 2014.,1,limited_date_precision
161,ASM/DH/83G4/2016/44,Assam,Dima Hasao,New Haflong R. S slide(3),New Haflong Railway Station,25.14525,93.029167,Debris,Slide,2016,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,,2016,2016,,year_only,year,Year-only value preserved as-is: 2016.,1,limited_date_precision
162,ASM/DH/83G4/2016/16,Assam,Dima Hasao,"Vidya Mandir, Boro Haflong-2","Boro Haflong, Haflong",25.145861,93.024194,Rock cum Debris,Slide,2016,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,,2016,2016,,year_only,year,Year-only value preserved as-is: 2016.,1,limited_date_precision
