Sl.No.,Slide No,State,District,Slide Name,NH SH Location,Latitude,Longitude,Material Involved,Movement Type,History,latitude_valid,longitude_valid,latitude_missing,longitude_missing,latitude_invalid,longitude_invalid,missing_coordinates,coordinate_status,suspicious_coordinates,valid_coordinate_rows,state_missing,district_missing,state_district_status,material_missing,movement_type_missing,history_missing,event_date,event_date_start,event_date_end,event_time,date_status,date_precision,date_parse_notes,landslide,event_quality
14865,516,Kerala,Idukki,Kanakappuzha,Kanakapuzha - NR city,9.959079,77.129877,Debris,Slide,15th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-15,2018-08-15,2018-08-15,,exact_date,day,Exact calendar date parsed from source text: 15th August 2018.,1,reliable
14866,517,Kerala,Idukki,Kanakappuzha,Kanakapuzha - NR city,9.95888,77.129958,Debris,Flow,15th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-15,2018-08-15,2018-08-15,,exact_date,day,Exact calendar date parsed from source text: 15th August 2018.,1,reliable
14867,518,Kerala,Idukki,Kanakappuzha,Kanakapuzha - NR city,9.958791,77.125526,Debris,Slide,15th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-15,2018-08-15,2018-08-15,,exact_date,day,Exact calendar date parsed from source text: 15th August 2018.,1,reliable
14868,519,Kerala,Idukki,Mangathotti,Mangathotty - Church road,9.949067,77.13799,Debris,Slide,15th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-15,2018-08-15,2018-08-15,,exact_date,day,Exact calendar date parsed from source text: 15th August 2018.,1,reliable
14869,520,Kerala,Idukki,Kanthipara,Kanthipara - Ottathi road,9.949909,77.133528,Debris,Flow,15th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-15,2018-08-15,2018-08-15,,exact_date,day,Exact calendar date parsed from source text: 15th August 2018.,1,reliable
14870,521,Kerala,Idukki,Chemmannar,Chemmannar pocket road,9.929568,77.152422,Debris,Flow,15th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-15,2018-08-15,2018-08-15,,exact_date,day,Exact calendar date parsed from source text: 15th August 2018.,1,reliable
14871,522,Kerala,Idukki,Panniyarkuthu,Kuthunkal - Rajakkad road,9.93918,77.106391,Debris,Flow,15th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-15,2018-08-15,2018-08-15,,exact_date,day,Exact calendar date parsed from source text: 15th August 2018.,1,reliable
14872,523,Kerala,Idukki,Rajakumari bridge,"Mangathotty - Rajakumari
bridge road",9.95547,77.148699,Debris,Slide,15th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-15,2018-08-15,2018-08-15,,exact_date,day,Exact calendar date parsed from source text: 15th August 2018.,1,reliable
14873,524,Kerala,Idukki,Ambalappadi,Senapathy - rajakumari road,9.949088,77.169845,Soil,Subsidence,15th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-15,2018-08-15,2018-08-15,,exact_date,day,Exact calendar date parsed from source text: 15th August 2018.,1,reliable
14874,525,Kerala,Idukki,Mammattikkanam,"Mammattikanam - Rajakkad
road",9.939576,77.103831,Debris,Slide,15th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-15,2018-08-15,2018-08-15,,exact_date,day,Exact calendar date parsed from source text: 15th August 2018.,1,reliable
14875,526,Kerala,Idukki,Mammattikkanam,"Kuthunkal - Changadakadavu
road",9.881126,77.104552,Debris,Flow,15th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-15,2018-08-15,2018-08-15,,exact_date,day,Exact calendar date parsed from source text: 15th August 2018.,1,reliable
14876,527,Kerala,Idukki,Mammattikkanam,Mammattikkanam pocket road,9.939357,77.10125,Debris,Flow,15th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-15,2018-08-15,2018-08-15,,exact_date,day,Exact calendar date parsed from source text: 15th August 2018.,1,reliable
14877,528,Kerala,Idukki,Kallimali View point,"Kallimali View point -
Panniyarkutty road",9.954884,77.078382,Debris,Slide,01-07-2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-07-01,2018-07-01,2018-07-01,,exact_date,day,Exact calendar date parsed from source text: 01-07-2018.,1,reliable
14878,529,Kerala,Idukki,Panniyarkutty,Adimali - Rajakkad road,9.957552,77.078162,Debris,Slide,15th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-15,2018-08-15,2018-08-15,,exact_date,day,Exact calendar date parsed from source text: 15th August 2018.,1,reliable
14879,530,Kerala,Idukki,Panniyarkutty,Adimali - Rajakkad road,9.958153,77.07605,Debris,Slide,15th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-15,2018-08-15,2018-08-15,,exact_date,day,Exact calendar date parsed from source text: 15th August 2018.,1,reliable
14880,531,Kerala,Idukki,Ponmudi,Ponmudi - Hanging bridge road,9.964335,77.05862,Debris,Slide,15th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-15,2018-08-15,2018-08-15,,exact_date,day,Exact calendar date parsed from source text: 15th August 2018.,1,reliable
14881,532,Kerala,Idukki,Kulatharakkuzhi,Rajakkad - Adimali road,9.968324,77.062493,Debris,Slide,16th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-16,2018-08-16,2018-08-16,,exact_date,day,Exact calendar date parsed from source text: 16th August 2018.,1,reliable
14882,533,Kerala,Idukki,Kulatharakkuzhi,Rajakkad - Adimali road,9.966436,77.063839,Debris,Slide,15th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-15,2018-08-15,2018-08-15,,exact_date,day,Exact calendar date parsed from source text: 15th August 2018.,1,reliable
14883,534,Kerala,Idukki,Kulatharakkuzhi,Rajakkad - Adimali road,9.964256,77.068385,Debris,Slide,15th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-15,2018-08-15,2018-08-15,,exact_date,day,Exact calendar date parsed from source text: 15th August 2018.,1,reliable
14884,535,Kerala,Idukki,Kanakapuzha,Kanakapuzha pocket road,9.957836,77.120715,Debris,Flow,15th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-15,2018-08-15,2018-08-15,,exact_date,day,Exact calendar date parsed from source text: 15th August 2018.,1,reliable
14885,536,Kerala,Idukki,Kanakapuzha,Kanakapuzha pocket road,9.956879,77.120527,Debris,Slide,15th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-15,2018-08-15,2018-08-15,,exact_date,day,Exact calendar date parsed from source text: 15th August 2018.,1,reliable
14886,537,Kerala,Idukki,Kannimala,"Kannimala - Kollamkulam Estate
road",9.662285,77.092683,Debris,Flow,15th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-15,2018-08-15,2018-08-15,,exact_date,day,Exact calendar date parsed from source text: 15th August 2018.,1,reliable
14887,538,Kerala,Idukki,Chengara,Anavilasam - Vandiperiyar road,9.645962,77.076031,Debris,Slide,15th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-15,2018-08-15,2018-08-15,,exact_date,day,Exact calendar date parsed from source text: 15th August 2018.,1,reliable
14888,539,Kerala,Idukki,Ambalamkunnu,"Ambalamkunnu - Melazhutha
road",9.572091,76.998014,Debris,Slide,15th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-15,2018-08-15,2018-08-15,,exact_date,day,Exact calendar date parsed from source text: 15th August 2018.,1,reliable
14889,540,Kerala,Idukki,Plakathadam,"Peerumedu - Plackathadam
road",9.558774,76.995185,Debris,Flow,15th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-15,2018-08-15,2018-08-15,,exact_date,day,Exact calendar date parsed from source text: 15th August 2018.,1,reliable
14890,541,Kerala,Idukki,Murinjapuzha,Murinjapuzha pocket road,9.557969,76.97305,Debris,Slide,16th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-16,2018-08-16,2018-08-16,,exact_date,day,Exact calendar date parsed from source text: 16th August 2018.,1,reliable
14891,542,Kerala,Idukki,Murinjapuzha,Murinjapuzha pocket road,9.556714,76.972888,Debris,Slide,15th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-15,2018-08-15,2018-08-15,,exact_date,day,Exact calendar date parsed from source text: 15th August 2018.,1,reliable
14892,543,Kerala,Idukki,Cheruvallikulam,"Murinjapuzha -
Cheruvallikulam road",9.536662,76.981105,Debris,Flow,15th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-15,2018-08-15,2018-08-15,,exact_date,day,Exact calendar date parsed from source text: 15th August 2018.,1,reliable
14893,544,Kerala,Idukki,Cheruvallikulam,"Murinjapuzha -
Cheruvallikulam road",9.526361,76.980418,Debris,Slide,15th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-15,2018-08-15,2018-08-15,,exact_date,day,Exact calendar date parsed from source text: 15th August 2018.,1,reliable
14894,545,Kerala,Idukki,Kanayankavayal,"Kanayankavayal - Mathamba
road",9.51972,76.983047,Debris,Flow,15th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-15,2018-08-15,2018-08-15,,exact_date,day,Exact calendar date parsed from source text: 15th August 2018.,1,reliable
14895,546,Kerala,Idukki,Vellani,"Kanayankavayal - Mathamba
road",9.517495,76.983326,Debris,Flow,15th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-15,2018-08-15,2018-08-15,,exact_date,day,Exact calendar date parsed from source text: 15th August 2018.,1,reliable
14896,547,Kerala,Idukki,Vellani,"Kanayankavayal - Mathamba
road",9.516939,76.982494,Debris,Flow,15th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-15,2018-08-15,2018-08-15,,exact_date,day,Exact calendar date parsed from source text: 15th August 2018.,1,reliable
14897,548,Kerala,Idukki,Vellani,"Kanayankavayal - Mathamba
road",9.50805,76.981387,Debris,Flow,15th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-15,2018-08-15,2018-08-15,,exact_date,day,Exact calendar date parsed from source text: 15th August 2018.,1,reliable
14898,549,Kerala,Idukki,Thekkemala,"Murinjapuzha - Thekkemala
road",9.530667,76.965462,Debris,Slide,15th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-15,2018-08-15,2018-08-15,,exact_date,day,Exact calendar date parsed from source text: 15th August 2018.,1,reliable
14899,550,Kerala,Idukki,Thekkemala,"Murinjapuzha - Thekkemala
road",9.531556,76.960131,Debris,Flow,15th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-15,2018-08-15,2018-08-15,,exact_date,day,Exact calendar date parsed from source text: 15th August 2018.,1,reliable
14900,551,Kerala,Idukki,Azhanganad,"Peruvanthanam - Azhanganad
road",9.567761,76.950283,Debris,Flow,15th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-15,2018-08-15,2018-08-15,,exact_date,day,Exact calendar date parsed from source text: 15th August 2018.,1,reliable
14901,552,Kerala,Idukki,Azhanganad,"Peruvanthanam - Azhanganad
road",9.572847,76.949283,Debris,Flow,15th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-15,2018-08-15,2018-08-15,,exact_date,day,Exact calendar date parsed from source text: 15th August 2018.,1,reliable
14902,553,Kerala,Idukki,Azhanganad,"Peruvanthanam - Azhanganad
road",9.576489,76.941443,Debris,Flow,15th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-15,2018-08-15,2018-08-15,,exact_date,day,Exact calendar date parsed from source text: 15th August 2018.,1,reliable
14903,554,Kerala,Idukki,Meloram,"Peruvanthanam - Melooram
road",9.57226,76.942849,Debris,Flow,15th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-15,2018-08-15,2018-08-15,,exact_date,day,Exact calendar date parsed from source text: 15th August 2018.,1,reliable
14904,555,Kerala,Idukki,Meloram,"Peruvanthanam - Melooram
road",9.565965,76.943333,Debris,Slide,15th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-15,2018-08-15,2018-08-15,,exact_date,day,Exact calendar date parsed from source text: 15th August 2018.,1,reliable
14905,556,Kerala,Idukki,Vembala,Vembala - Uppukulam road,9.618522,76.91768,Debris,Flow,15th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-15,2018-08-15,2018-08-15,,exact_date,day,Exact calendar date parsed from source text: 15th August 2018.,1,reliable
14906,557,Kerala,Idukki,Keerikara,Periyar - Thengakkal road,9.609313,77.069258,Debris,Slide,"16th
July
2018",True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-07-16,2018-07-16,2018-07-16,,exact_date,day,Exact calendar date parsed from source text: 16th July 2018.,1,reliable
14907,558,Kerala,Idukki,Kallumedu,Anavilasam - Vandiperiyar road,9.648325,77.094746,Debris,Slide,15th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-15,2018-08-15,2018-08-15,,exact_date,day,Exact calendar date parsed from source text: 15th August 2018.,1,reliable
14908,1,Kerala,Idukki,Parivathanamedu I,"Nedumkandam -
Parivarthanamedu Road",9.848525,77.161483,Debris,Flow,15th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-15,2018-08-15,2018-08-15,,exact_date,day,Exact calendar date parsed from source text: 15th August 2018.,1,reliable
14909,2,Kerala,Idukki,Parivathanamedu I I,"Nedumkandam -
Parivarthanamedu Road",9.842312,77.160549,Soil,Slide,15th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-15,2018-08-15,2018-08-15,,exact_date,day,Exact calendar date parsed from source text: 15th August 2018.,1,reliable
14910,3,Kerala,Idukki,Parivathanamedu I II,"Nedumkandam -
Parivarthanamedu Road",9.842529,77.160514,Debris,Slide,15th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-15,2018-08-15,2018-08-15,,exact_date,day,Exact calendar date parsed from source text: 15th August 2018.,1,reliable
14911,4,Kerala,Idukki,Parivathanamedu IV,"Nedumkandam -
Parivarthanamedu Road",9.847146,77.159369,Debris,Slide,13th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-13,2018-08-13,2018-08-13,,exact_date,day,Exact calendar date parsed from source text: 13th August 2018.,1,reliable
14912,5,Kerala,Idukki,5 Acre Kanam,Nedumkandam - Illikalam Road,9.841301,77.1688,Debris,Slide,15th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-15,2018-08-15,2018-08-15,,exact_date,day,Exact calendar date parsed from source text: 15th August 2018.,1,reliable
14913,6,Kerala,Idukki,Mathaikada I,"Mundiyeruma-Udumbanchola
road",9.838144,77.18461,Debris,Flow,15th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-15,2018-08-15,2018-08-15,,exact_date,day,Exact calendar date parsed from source text: 15th August 2018.,1,reliable
14914,7,Kerala,Idukki,Mathaikada II,"Mundiyeruma-Udumbanchola
road",9.83882,77.153524,Debris,Flow,15th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-15,2018-08-15,2018-08-15,,exact_date,day,Exact calendar date parsed from source text: 15th August 2018.,1,reliable
14915,8,Kerala,Idukki,Mathaikkada III,"Mundiyeruma-Udumbanchola
road",9.83811,77.18514,Debris,Slide,15th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-15,2018-08-15,2018-08-15,,exact_date,day,Exact calendar date parsed from source text: 15th August 2018.,1,reliable
14916,9,Kerala,Idukki,Palar,"Mundiyeruma-Udumbanchola
road",9.851827,77.204249,Debris,Slide,15th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-15,2018-08-15,2018-08-15,,exact_date,day,Exact calendar date parsed from source text: 15th August 2018.,1,reliable
14917,10,Kerala,Idukki,Pallipadi,Combayar Road,9.854614,77.206592,Debris,Slide,15th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-15,2018-08-15,2018-08-15,,exact_date,day,Exact calendar date parsed from source text: 15th August 2018.,1,reliable
14918,11,Kerala,Idukki,Kunnukuzhi,Thannimood- Kunnukuzhi Road,9.837212,77.173549,Debris,Slide,16th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-16,2018-08-16,2018-08-16,,exact_date,day,Exact calendar date parsed from source text: 16th August 2018.,1,reliable
14919,12,Kerala,Idukki,Asokavanam,Mavadi - Adimali Road (NH 47),9.886393,77.120748,Debris,Flow,15th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-15,2018-08-15,2018-08-15,,exact_date,day,Exact calendar date parsed from source text: 15th August 2018.,1,reliable
14920,13,Kerala,Idukki,Parathodu,"Nedumkandam - Munnar Road
(NH 47)",9.878588,77.159847,Debris,Slide,15th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-15,2018-08-15,2018-08-15,,exact_date,day,Exact calendar date parsed from source text: 15th August 2018.,1,reliable
14921,14,Kerala,Idukki,Parathodu- 40th Acre I,Parathodu- 40th Acre Road,9.880659,77.145568,Debris,Slide,15th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-15,2018-08-15,2018-08-15,,exact_date,day,Exact calendar date parsed from source text: 15th August 2018.,1,reliable
14922,15,Kerala,Idukki,Mavadi,Kailasapura - Mavadi Road,9.880827,77.123401,Debris,Slide,15th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-15,2018-08-15,2018-08-15,,exact_date,day,Exact calendar date parsed from source text: 15th August 2018.,1,reliable
14923,16,Kerala,Idukki,Puthukkal I,Kailasapura - Mavadi Road,9.880616,77.122442,Debris,Flow,15th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-15,2018-08-15,2018-08-15,,exact_date,day,Exact calendar date parsed from source text: 15th August 2018.,1,reliable
14924,17,Kerala,Idukki,Puthukkal II,Kailasapura - Mavadi Road,9.881169,77.120732,Debris,Flow,15th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-15,2018-08-15,2018-08-15,,exact_date,day,Exact calendar date parsed from source text: 15th August 2018.,1,reliable
14925,18,Kerala,Idukki,Amblakkavala,Amblakkavala - Mavadi Road,9.882046,77.120674,Debris,Slide,15th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-15,2018-08-15,2018-08-15,,exact_date,day,Exact calendar date parsed from source text: 15th August 2018.,1,reliable
14926,19,Kerala,Idukki,Kilavikulam - I,"Nedumkandam - Munnar
Highway (NH 47)",9.893207,77.169231,Debris,Flow,16th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-16,2018-08-16,2018-08-16,,exact_date,day,Exact calendar date parsed from source text: 16th August 2018.,1,reliable
14927,20,Kerala,Idukki,Kilavikulam - II,"Nedumkandam - Munnar
Highway (NH 47)",9.896136,77.17327,Debris,Slide,16th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-16,2018-08-16,2018-08-16,,exact_date,day,Exact calendar date parsed from source text: 16th August 2018.,1,reliable
14928,21,Kerala,Idukki,Chappath,Senapathy - Rajakkad Road,9.912176,77.176511,Debris,Slide,15th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-15,2018-08-15,2018-08-15,,exact_date,day,Exact calendar date parsed from source text: 15th August 2018.,1,reliable
14929,22,Kerala,Idukki,Karakunnu,,9.918204,77.166852,Debris,Slide,8th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-08,2018-08-08,2018-08-08,,exact_date,day,Exact calendar date parsed from source text: 8th August 2018.,1,reliable
14930,23,Kerala,Idukki,Chemmnnar- I,Nedumkandam - Rajakkad Road,9.923082,77.159007,Debris,Slide,15th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-15,2018-08-15,2018-08-15,,exact_date,day,Exact calendar date parsed from source text: 15th August 2018.,1,reliable
14931,24,Kerala,Idukki,Arattupara,,9.929417,77.123704,Debris,Slide,8th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-08,2018-08-08,2018-08-08,,exact_date,day,Exact calendar date parsed from source text: 8th August 2018.,1,reliable
14932,25,Kerala,Idukki,Mavara City -I,Sleebamala- Aattupara Road,9.928599,77.121639,Debris,Flow,15th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-15,2018-08-15,2018-08-15,,exact_date,day,Exact calendar date parsed from source text: 15th August 2018.,1,reliable
14933,26,Kerala,Idukki,Mavara City - II,Sleebamala- Aattupara Road,9.926836,77.123159,Debris,Flow,8th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-08,2018-08-08,2018-08-08,,exact_date,day,Exact calendar date parsed from source text: 8th August 2018.,1,reliable
14934,27,Kerala,Idukki,Mavara City - III,Kuthungal - Mavara City Road,9.926536,77.126202,Debris,Flow,15th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-15,2018-08-15,2018-08-15,,exact_date,day,Exact calendar date parsed from source text: 15th August 2018.,1,reliable
14935,28,Kerala,Idukki,Vattakannippara -I,Ittichuvadu- Aattupra Road,9.926579,77.117961,Debris,Slide,August 11th 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,,2018,2018,,year_only,year,Year-only value preserved as-is: 2018.,1,limited_date_precision
14936,29,Kerala,Idukki,Vattakannippara -II,Kuthungal - Thinkalkad Road,9.916541,77.114532,Debris,Slide,8th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-08,2018-08-08,2018-08-08,,exact_date,day,Exact calendar date parsed from source text: 8th August 2018.,1,reliable
14937,30,Kerala,Idukki,Vattakannippara -III,Kuthungal - Thinkalkad Road,9.914051,77.115246,Debris,Slide,15th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-15,2018-08-15,2018-08-15,,exact_date,day,Exact calendar date parsed from source text: 15th August 2018.,1,reliable
14938,31,Kerala,Idukki,Chemmannar -II,Chemmannar,9.92214,77.14932,Debris,Flow,8th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-08,2018-08-08,2018-08-08,,exact_date,day,Exact calendar date parsed from source text: 8th August 2018.,1,reliable
14939,32,Kerala,Idukki,Chemmannar -III,"Chembarihodu - Chemmannar
Road",9.923232,77.148288,Debris,Slide,August 17th 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,,2018,2018,,year_only,year,Year-only value preserved as-is: 2018.,1,limited_date_precision
14940,33,Kerala,Idukki,Pallikunnu,Ezhumalakkudi,9.927923,77.135537,Debris,Slide,15th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-15,2018-08-15,2018-08-15,,exact_date,day,Exact calendar date parsed from source text: 15th August 2018.,1,reliable
14941,34,Kerala,Idukki,St. Sebastian Sleeba Church,Kalthungal-Thinkalkadu Road,9.933582,77.111196,Debris,Slide,15th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-15,2018-08-15,2018-08-15,,exact_date,day,Exact calendar date parsed from source text: 15th August 2018.,1,reliable
14942,35,Kerala,Idukki,Thinkalkadu I,Kalthungal-Thinkalkadu Road,9.913188,77.115833,Debris,Flow,15th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-15,2018-08-15,2018-08-15,,exact_date,day,Exact calendar date parsed from source text: 15th August 2018.,1,reliable
14943,36,Kerala,Idukki,Thinkalkadu II,"Muniyara -Thinkalkadu Road via
Churuli",9.912635,77.113277,Debris,Flow,15th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-15,2018-08-15,2018-08-15,,exact_date,day,Exact calendar date parsed from source text: 15th August 2018.,1,reliable
14944,37,Kerala,Idukki,Thinkalkadu III,"Seethakkulam-Thinkalkadu
Road",9.91488,77.10647,Debris,Slide,15th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-15,2018-08-15,2018-08-15,,exact_date,day,Exact calendar date parsed from source text: 15th August 2018.,1,reliable
14945,38,Kerala,Idukki,Thinkalkadu IV,Seethkkulam-Muniyara Road,9.914315,77.110644,Debris,Flow,August 14th 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,,2018,2018,,year_only,year,Year-only value preserved as-is: 2018.,1,limited_date_precision
14946,39,Kerala,Idukki,Thinkalkadu V,Seethakkulam-Muniyara Road,9.914315,77.110644,Debris,Flow,August 14th 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,,2018,2018,,year_only,year,Year-only value preserved as-is: 2018.,1,limited_date_precision
14947,40,Kerala,Idukki,Thinkalkadu VI,Seethkkulam-Muniyara Road,9.91506,77.078826,Debris,Flow,15th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-15,2018-08-15,2018-08-15,,exact_date,day,Exact calendar date parsed from source text: 15th August 2018.,1,reliable
14948,41,Kerala,Idukki,Thinkalkadu VII,Mannakudi - Muniyara Road,9.914739,77.109325,Debris,Flow,15th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-15,2018-08-15,2018-08-15,,exact_date,day,Exact calendar date parsed from source text: 15th August 2018.,1,reliable
14949,42,Kerala,Idukki,Thinkalkadu VIII,Seethakkulam-Muniyara Road,9.913768,77.109847,Debris,Slide,15th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-15,2018-08-15,2018-08-15,,exact_date,day,Exact calendar date parsed from source text: 15th August 2018.,1,reliable
14950,43,Kerala,Idukki,Thinkalkadu IX,Muniyara Road - Thinkalkadu,9.914919,77.106482,Debris,Slide,15th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-15,2018-08-15,2018-08-15,,exact_date,day,Exact calendar date parsed from source text: 15th August 2018.,1,reliable
14951,44,Kerala,Idukki,Kailalasam,Nedumkandam- Kailasam Road,9.900049,77.111063,Debris,Slide,15th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-15,2018-08-15,2018-08-15,,exact_date,day,Exact calendar date parsed from source text: 15th August 2018.,1,reliable
14952,45,Kerala,Idukki,Rajakumari,,9.966702,77.157571,Earth,Slide,8th August 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-08-08,2018-08-08,2018-08-08,,exact_date,day,Exact calendar date parsed from source text: 8th August 2018.,1,reliable
